site,name,price,url,image,sourcePage
judyshop,상품명 : 세윤S169 투피스세트,153000,https://www.judyshop.co.kr/product/세윤s169투피스세트/114076/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/TIM5/20260306_S169.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S481 투피스세트,72000,https://www.judyshop.co.kr/product/티아라s481투피스세트/114911/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/202605/61194198e90139ec1cf8171f4bbea8c3.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 희야S621 투피스세트,162000,https://www.judyshop.co.kr/product/희야s621투피스세트/115235/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/TIM1/20260601_S621.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 임마누엘R164 투피스세트,144000,https://www.judyshop.co.kr/product/임마누엘r164투피스세트/111730/category/1/display/29/,https://www.judyshop.co.kr/web/product/medium/TIM5/20250724_R164.jpg,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S597 블라우스(4color),45000,https://www.judyshop.co.kr/product/티아라s597블라우스4color/115211/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202606/3b2a02a9d0a315ddce665fe412534894.gif,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 펄S436 셔링탑(2color),81000,https://www.judyshop.co.kr/product/펄s436셔링탑2color/114765/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202605/cd22cd22ed690098af657387d47775e0.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 그레이스S507 블라우스(2color),99000,https://www.judyshop.co.kr/product/그레이스s507블라우스2color/114937/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202605/a81e0749700f7c2891a1a55f2e824bfa.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,"상품명 : 쥬디 AM1398 블라우스(아이보리,블랙)",62000,https://www.judyshop.co.kr/product/쥬디-am1398블라우스아이보리블랙/114974/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202605/f7bf0a5e9f412e983357db1546aa8ad2.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,"상품명 : 쥬디 AM1414 카라니트(베이지,아이보리,블랙)",88000,https://www.judyshop.co.kr/product/쥬디-am1414카라니트베이지아이보리블랙/114990/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202606/756cd283b22d7b215025bbc45f3f100d.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
judyshop,상품명 : 티아라S544 캡소매니트(5color),45000,https://www.judyshop.co.kr/product/티아라s544캡소매니트5color/115023/category/1/display/30/,https://www.judyshop.co.kr/web/product/medium/202605/353b93f8cb3cc8bf8071394fd301783f.webp,https://www.judyshop.co.kr/product/list.html?cate_no=24&page=1
