code,vendorCode,supplier,name,category,color,size,imageCount,mainImage,unknownCutCount,sourceProductCutFirst,folder
TIA-S812,S812,티아라,7월 신상 원피스,MINI,아이,S / M,8,assets/july10/tiara/TIA-S812_01.jpg,4,False,7월 10일 신제품  사진/티아라/S812번(아이_SM)
TIA-S813,S813,티아라,7월 신상 원피스,MINI,민트,S / M,8,assets/july10/tiara/TIA-S813_01.jpg,0,True,7월 10일 신제품  사진/티아라/S813번(민트_SM)
TIA-S814,S814,티아라,투피스,TWO PIECE,아이,S / M,9,assets/july10/tiara/TIA-S814_01.jpg,0,True,7월 10일 신제품  사진/티아라/S814번 투피스(아이_SM)
TIA-S815,S815,티아라,투피스,TWO PIECE,소라,S / M,9,assets/july10/tiara/TIA-S815_01.jpg,0,True,7월 10일 신제품  사진/티아라/S815번 투피스(소라_SM)
TIA-S816,S816,티아라,7월 신상 원피스,MINI,핑크,S / M,8,assets/july10/tiara/TIA-S816_01.jpg,0,True,7월 10일 신제품  사진/티아라/S816번(핑크_SM)
TIA-S817,S817,티아라,7월 신상 원피스,MINI,블랙,S / M,8,assets/july10/tiara/TIA-S817_01.jpg,2,False,7월 10일 신제품  사진/티아라/S817번(블랙_SM)
TIA-S818,S818,티아라,7월 신상 원피스,MINI,아이,S / M,8,assets/july10/tiara/TIA-S818_01.jpg,0,True,7월 10일 신제품  사진/티아라/S818번(아이_SM)
TIA-S819,S819,티아라,7월 신상 원피스,MINI,블랙,S / M,7,assets/july10/tiara/TIA-S819_01.jpg,0,True,7월 10일 신제품  사진/티아라/S819번(블랙_SM)
TIA-S838,S838,티아라,투피스,TWO PIECE,아이,S / M,9,assets/july10/tiara/TIA-S838_01.jpg,0,False,7월 10일 신제품  사진/티아라/S838번 투피스(아이_SM)
TIA-S839,S839,티아라,투피스,TWO PIECE,블랙 / 핑크,S / M,9,assets/july10/tiara/TIA-S839_01.jpg,0,False,7월 10일 신제품  사진/티아라/S839번 투피스(핑크블랙_SM)
TIA-S840,S840,티아라,투피스,TWO PIECE,화이트 / 블랙,S / M,9,assets/july10/tiara/TIA-S840_01.jpg,0,False,7월 10일 신제품  사진/티아라/S840번 투피스(블랙화이트_SM)
